Без АСД
1 8.24842333e-07
2 3.53075e-07
3 4.3077279200000016e-07
4 5.25862292e-07
5 6.024003750000002e-07
6 7.130529169999998e-07
7 7.875245419999999e-07
8 8.9e-07
9 9.262688340000001e-07
10 9.841005830000001e-07
11 1.0929509170000005e-06
12 1.16807075e-06
13 1.246163041000001e-06
14 1.3336433339999995e-06
15 1.3595196670000008e-06
16 1.44e-06
17 1.5470584580000022e-06
18 1.6299636249999985e-06
19 1.7157407499999985e-06
20 1.7385408330000019e-06
21 1.846408916999998e-06
22 1.924486125000001e-06
23 2.0046652919999987e-06
24 2.037728666999997e-06
25 2.1280280000000006e-06
26 2.2357487499999992e-06
27 2.317972499999996e-06
28 2.387691750000002e-06
29 2.475446749999996e-06
30 2.5194320840000016e-06
31 2.608188083999998e-06
32 2.670510790999995e-06
33 2.7637968339999973e-06
34 2.832672000000002e-06
35 2.8800941669999956e-06
36 2.997382541999997e-06
37 3.087402916000002e-06
38 3.1484794999999934e-06
39 3.2531269589999995e-06
40 3.255743375000006e-06
41 3.3954194169999993e-06
42 3.47888404199999e-06
43 3.550547832999996e-06
44 3.6382671249999988e-06
45 3.654126875000003e-06
46 3.7814656249999956e-06
47 3.861857457999989e-06
48 3.930224584e-06
49 4.0010090829999995e-06
50 4.070448166999995e-06
51 4.19484216699999e-06
52 4.266871457999997e-06
53 4.350136292000002e-06
54 4.4243727919999855e-06
55 4.509591249999999e-06
56 4.573451665999999e-06
57 4.655308624999975e-06
58 4.72842e-06
59 4.805558499999989e-06
60 4.891098709000005e-06
61 4.96359612500001e-06
62 5.045740957999982e-06
63 5.112993791000008e-06
64 5.2167019291999986e-06
65 5.289652374999975e-06
66 5.3430906670000126e-06
67 5.419525875000005e-06
68 5.4957156670000135e-06
69 5.57272633300002e-06
70 5.657593999999989e-06
71 5.725480334000025e-06
72 5.8691188790999985e-06
73 5.877236040999975e-06
74 5.95845862500002e-06
75 5.991411167000024e-06
76 6.106057125000007e-06
77 6.18129270899999e-06
78 6.257942791000005e-06
79 6.338883624999994e-06
80 6.4343944542000009e-06
81 6.491737833999991e-06
82 6.573279291999995e-06
83 6.65010729100004e-06
84 6.721615792000023e-06
85 6.761261083000022e-06
86 6.874326041000017e-06
87 6.96492304100002e-06
88 7.053972433499999966e-06
89 7.115750417000015e-06
90 7.15631424999998e-06
91 7.2852438750000484e-06
92 7.349819249999996e-06
93 7.422926292e-06
94 7.503236458000004e-06
95 7.511647416999949e-06
96 7.6739635166999995e-06
97 7.707383457999981e-06
98 7.776459916999954e-06
99 7.854915125000048e-06
100 7.891814791000001e-06
