С АСД
1 1.0160333300000002e-07
2 9.4610208e-08
3 9.990850000000001e-08
4 1.0610975000000001e-07
5 1.1789058299999999e-07
6 1.75177166e-07
7 1.8275975e-07
8 1.9037158400000008e-07
9 1.5293645800000011e-07
10 1.5983195800000006e-07
11 2.1461712499999997e-07
12 2.24444125e-07
13 2.3260462500000024e-07
14 2.421812499999998e-07
15 2.0261216700000028e-07
16 2.5799691700000026e-07
17 2.692134160000004e-07
18 2.765681249999998e-07
19 2.8682662500000023e-07
20 2.4748716700000005e-07
21 3.043784999999999e-07
22 3.1451758399999985e-07
23 3.225218339999998e-07
24 3.3200562500000077e-07
25 2.9468720899999925e-07
26 3.5125245800000026e-07
27 3.5750137500000003e-07
28 3.6799912499999986e-07
29 3.7696520899999974e-07
30 3.383755839999996e-07
31 3.946425830000004e-07
32 4.053004170000003e-07
33 4.1591416700000037e-07
34 4.387444580000004e-07
35 3.890257909999999e-07
36 4.470649170000005e-07
37 4.5346279099999973e-07
38 4.632495419999998e-07
39 4.7250649999999973e-07
40 4.3266999999999986e-07
41 4.896738749999994e-07
42 6.48364041999999e-07
43 6.717483330000001e-07
44 6.887168750000008e-07
45 6.60279000000001e-07
46 7.25504041999999e-07
47 7.390612089999991e-07
48 7.58905666999997e-07
49 7.738569159999997e-07
50 7.44437792000003e-07
51 8.142668330000013e-07
52 8.442902500000002e-07
53 8.540888749999986e-07
54 8.609259169999995e-07
55 8.77718625e-07
56 8.814914589999994e-07
57 8.904640000000014e-07
58 8.979388750000013e-07
59 9.083035000000024e-07
60 9.239437909999992e-07
61 9.267422920000002e-07
62 9.377923750000008e-07
63 9.448728750000015e-07
64 9.534519170000025e-07
65 9.660990409999998e-07
66 9.697818330000026e-07
67 9.837339999999984e-07
68 9.891644170000049e-07
69 9.976310840000054e-07
70 1.014701959e-06
71 1.0198499580000018e-06
72 1.037183333999998e-06
73 1.0412248750000047e-06
74 1.0573055829999943e-06
75 1.0354994580000038e-06
76 1.080942084e-06
77 1.0737619159999953e-06
78 1.080771833e-06
79 1.0874294580000026e-06
80 1.1051690829999998e-06
81 1.1068293330000004e-06
82 1.1188053329999974e-06
83 1.129294416999997e-06
84 1.1348892910000004e-06
85 1.0930877910000022e-06
86 1.3120297910000005e-06
87 1.3251887079999989e-06
88 1.346554832999999e-06
89 1.3635818750000012e-06
90 1.3221750829999976e-06
91 1.386828041000001e-06
92 1.3966706670000022e-06
93 1.4104361670000003e-06
94 1.4202085830000043e-06
95 1.3824549160000005e-06
96 1.4489731670000055e-06
97 1.4749835829999967e-06
98 1.4818411250000025e-06
99 1.488092457999997e-06
100 1.452307625000003e-06
